original	call_entry	net	correct_mean	correct_cnt	fake_always_1	fake_always_3	fake_always_5	fake_correct	fake_correct_1v5	1000	1001	1002	1004	1005	1006	1007	1009	1010	1011	1012	1013	1014	984	986	987	988	992	993	994	995	996	997	998
sample15_1a7df29173d06cd4119ea338d1e8e05c.ogg	1013	loss40-0 + rate16kbit	1	7	1	3	5	1	1	1	1.2038602658028	1.304	1	1.172	2.089	1.7	1.579	2.4	1	2.36997	1.86037	1.133	1.0765	1.282409	1.715	1		2.67977	3.10415	1.51175	4.9018	1.52681	4.9233
sample16_450f0cecc3c7003c6fbc3a10f4712aa4.ogg	996	loss30-0 + rate17kbit	1.6666666666667	6	1	3	5	1.6666666666667	1	1	1.967710893349	1.591	1	1.196	1	2.3	1.696	1.5	1	3.49435	1	1.164	1.0385	1.371868	1.785	1		1	2.39332	1.81947	1	2.4621	1.9043
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	996	loss30-0 + delay400-50	1.8571428571429	7	1	3	5	1.8571428571429	1	1	3.852732683999	2.049	1.485675	1.336	2.832	2.7	2.045	2.3	1	4.32464	3.84806	1.374	1.151	1.748379	1.99	3.173645	4.21	3.07956	3.10355	2.14373	2.7122	3.36594	2.3126
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	1013	loss17-0 + rate28kbit	3	7	1	3	5	3	5	1	1.4633848538713	2.552	2.644598	1.337	2.292	2.7	2.081	3.24	1	3.76484	1.00089	1.616	1.1327	2.125475	2.245	1		1.74903	2.75603	2.15425	1	4.03904	4.9274
sample15_c38cd5c611532af5e79ed0958c415880.ogg	993	loss22-0 + rate19kbit	2.1428571428571	7	1	3	5	2.1428571428571	1	1	3.6461143393643	1.803	2.533537	1.181	1.843	2.3	1.818	2.3	1	3.32243	1	1.242	1.1256	1.422077	1.901	1	4.15	1.66887	2.70531	1.88018	2.6935	3.02261	1.0165
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1009	loss30-0 + delay400-50	2.3333333333333	12	1	3	5	2.3333333333333	1	1	1.1307115752698	1.971	2.670179	1.274	4.185	2.3	1.904	2.3	1	3.9755	2.87111	1.25	1.1164	1.586974	1.916	2.388733		3.19736	3.93542	1.88248	5	2.84648	5
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1002	loss40-0 + rate16kbit	1	17	1	3	5	1	1	1	1.6281360894487	1.712	1.006841	1.208	2.265	2.3	1.768	2.82	1	3.41436	2.62001	1.19	1.0468	1.413963	1.824	1.578781		3.05202	2.25281	2.19231	5	2.06048	1
sample15_a5c5e22bcb1d4585beba504d73b6cc99.ogg	1001	loss22-0 + rate19kbit	1.8571428571429	7	1	3	5	1.8571428571429	1	1	3.2268680344802	1.679	1	1.203	2.453	2.3	1.913	2.4	1	2.56457	1	1.215	1.0785	1.475273	1.853	1	3.16	1.98026	2.47059	1.7925	2.7716	1.85987	2.7614
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1009	loss90-0 + delay700-10	0.5	10	1	3	5	0.5	1	1	3.7345451626024	1.327	2.065732	1.187	1	2.3	1.464	1.1	1	0.198525	1	1.168	1.0355	1.404277	1.68	1	3.32	1.15829	2.55163	1.66611	1	1.31348	1.3533
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	993	loss40-0 + rate16kbit	0.57142857142857	7	1	3	5	0.57142857142857	1	1	1.6389796121479	1.277	1	1.152	1	1.7	0.926	2.4	1	0	1	1.097	1.3807	1.160748	1.632	1	2.1	1.07209	2.44932	2.01526	1	1	
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	998	loss40-0 + rate16kbit	1.1666666666667	6	1	3	5	1.1666666666667	1	1	1.8679202826559	1.966	1.944427	1.204	1.01	2.3	1.764	1.182	1	2.97864	1	1.202	1.0993	1.515125	1.913	1		1.4843	2.59285	1.63269	1	2.96636	1
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	996	loss17-0 + rate24kbit	2.2857142857143	7	1	3	5	2.2857142857143	1	1	1.6109842471465	2.227	1.039613	1.175	3.538	3.3	1.648	2.3	1	3.03543	1	1.952	1.168	1.628163	2.353	1		3.55468	2.68476	3.07552	1	2.37062	2.0736
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	1001	loss25-0 + delay500-50	1.4285714285714	7	1	3	5	1.4285714285714	1	1.21677	1.2188589851426	1.234	2.817911	1.14	1	1.7	1.451	1.2	1	3.26766	1	1.117	1.0355	1.290069	1.705	1	2.69	1.9495	2.31868	1.43764	1	1.53392	4.9626
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	988	loss13-0 + rate48kbit	4.3333333333333	6	1	3	5	4.3333333333333	5	3.95202	1.8885698573597	3.137	4.533293	2.154	4.793	3.3	2.827	3.8	1	4.69441	4.76023	2.335	1.9151	2.997681	3.088	4.411926		4.51444	4.74018	3.4422	5	4.47051	3.3942
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	1009	loss25-0 + delay500-50	2.6666666666667	6	1	3	5	2.6666666666667	1	1	1.0034212682213	2.387	2.726404	1.372	2.824	2.7	2.243	4.2	1	4.16382	1.60519	1.573	1.1524	2.013228	2.226	1		2.49567	2.36411	2.25159	1	3.39184	
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	993	loss22-0 + rate23kbit	1.8333333333333	6	1	3	5	1.8333333333333	1	1.05512	1.341868166215	1.145	1.924348	1.118	1	1.7	1.257	2.4	1	3.17319	1	1.095	1.0288	1.37731	1.662	1	3.33	1.88692	2.65391	1.30235	1	1.97358	
sample15_c38cd5c611532af5e79ed0958c415880.ogg	984	loss25-0 + delay500-50	3.8333333333333	6	1	3	5	3.8333333333333	5	1	4.219385054624	2.583	4.591712	1.366	3.121	2.7	2.569	3.52	1	4.47704	3.14564	1.745	1.1278	2.033669	2.513	3.456268	4.78	2.30376	2.49646	3.01466	2.8068	4.0508	4.2311
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	1014	loss22-0 + rate19kbit	1.1666666666667	6	1	3	5	1.1666666666667	1	1		1	1	1.126	3.949	1.7	1.304	2.4	1	0	1	1.078	1.2346	1.229043	1.766	1	1.49	4.21557	2.93406	1.26668	3.2061	1	4.4674
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	998	default	5	7	1	3	5	5	5	3.73065	1.0506612988941	4.331	3.107826	3.93	4.179	4.3	3.445	5	1	4.66815	4.49085	3.968	3.476	4.543371	5	3.499435		4.31869	4.73468	4.09715	2.3748	4.64053	5
sample16_5d5ba5774b0b215e83f8099e87cbe7e2.ogg	1001	loss25-0 + delay500-50	3	6	1	3	5	3	5	1	3.4313972290023	2.071	3.83077	1.339	4.598	2.3	2.219	2.82	1	4.21493	1	1.358	1.1148	1.676842	2.063	3.303299	3.78	4.9626	5	3.09219	5	3.44378	5
sample16_28b7af27b8464f83f547e385893de318.ogg	1014	loss30-0 + rate17kbit	2	7	1	3	5	2	1	1		1.552	1	1.216	3.076	2.3	1.735	2.4	1	3.73576	1	1.169	1.0963	1.405156	1.781	1	3.67	3.66921	2.83772	1.86516	4.3602	2.06373	4.3467
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1000	default	5.8666666666667	30	1	3	5	5.8666666666667	5	1.7443	4.0302862379565	4.415	5	4.313	5	4.3	4.052	5	1	4.8496	5	4.083	3.8072	4.61194	5	4.11676	4.73	4.92641	5	4.47266	5	4.90703	4.3255
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	998	loss22-0 + rate19kbit	1	7	1	3	5	1	1	1.42538	1.5538349692585	1.177	1.817131	1.133	1	1.7	0.913	1.2	1	0	1	1.106	1.0351	1.24401	1.682	1	1.83	1.16224	2.90538	1.26609	1	1	4.4904
sample16_28b7af27b8464f83f547e385893de318.ogg	1011	loss13-0 + rate48kbit	3.3333333333333	6	1	3	5	3.3333333333333	5	2.23163	1.0636329989932	2.562	3.951017	1.496	3.981	2.7	2.495	2.3	1	4.68258	1.80846	1.713	1.3153	2.229026	2.428	3.69989		4.12886	3.37873	2.55753	4.4688	4.1108	5
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	996	loss17-0 + rate24kbit	2	6	1	3	5	2	1	1	1.3901975451255	1.974	3.634914	1.223	2.674	2.7	1.835	1.5	1	2.92158	1.57446	1.397	1.4801	1.683327	2.083	1.821472		3.14489	2.80626	1.75218	4.7927	2.36027	4.2152
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	1011	loss17-0 + rate28kbit	3.7142857142857	7	1	3	5	3.7142857142857	5	1	3.6045240531278	2.273	1.465646	1.29	1.112	2.7	2.018	3.52	3.3	4.69492	1	1.44	1.2113	1.692971	2.04	2.597076	4.73	1	2.84292	1.97738	1	4.264	2.5167
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	1013	loss10-0 + rate64kbit	3.5714285714286	7	1	3	5	3.5714285714286	5	2.47861	3.4979334440634	2.716	1	1.813	4.121	2.7	2.58	4.42	1	4.8063	3.85651	1.831	1.4695	2.398445	2.809	3.494202	4.65	3.29771	3.58376	2.60262	1	4.05582	3.1819
sample17_0d1f6a407f028a451f3a6a90098a9300.ogg	1012	loss13-0 + rate44kbit	4.875	8	1	3	5	4.875	5	1.67972	4.1566598018275	3.022	1	2.049	4.213	3.3	2.829	4.2	1	4.88472	4.08286	2.007	1.9529	2.785073	3.237	3.803192	4.82	3.27695	3.99633	2.76272	1	4.44564	3.9639
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	992	loss30-0 + rate14kbit	0.33333333333333	6	1	3	5	0.33333333333333	1	1	3.250070831103	1	2.663916	1.171	3.936	1.7	1.386	1.2	1	0	1	1.091	1.051	1.193268	1.671	1		3.59005	2.68338	1.2397	3.1909	1	
sample05_066a3936b4ebc1ca0c3b9e5d4e061e4b.ogg	1000	loss22-0 + rate19kbit	0.71428571428571	7	1	3	5	0.71428571428571	1	1	3.1604147787978	1.187	4.748885	1.263	3.85	1.7	1.46	2.9	1	0.483161	1	1.134	1.0744	1.215409	2.288	1	2.01	3.68571	3.56372	1.35405	2.7981	1	2.7774
sample05_7f3d7554d1fe70872389e84ebe802984.ogg	1014	loss40-0 + rate16kbit	0.75	8	1	3	5	0.75	1	1.32767		1.283	1	1.16	1	1.7	1.531	2.6	1	3.65391	1	1.141	1.1021	1.374591	1.72	1	3.3	1.56461	2.52352	1.38995	1	1.38801	4.8336
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	984	loss17-0 + rate24kbit	3	7	1	3	5	3	5	1	3.8331620543895	1.541	2.361532	1.183	1.444	2.3	1.708	2	1	4.2233	1	1.221	1.1094	1.41963	1.885	1.73912	4.42	1.9027	2.47581	1.45777	1	3.19237	1.1015
sample05_b4e08e2fae45c5991b82b80755d042a5.ogg	1009	loss25-0 + rate25kbit	2.9090909090909	11	1	3	5	2.9090909090909	1	2.57494	1.2825053922356	1.847	4.24813	1.213	3.107	2.3	1.831	2.4	1	2.92838	2.6761	1.348	1.1544	1.546823	1.906	2.438255	3.71	4.21323	3.5197	1.75103	4.9332	3.4793	5
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	1010	loss30-0 + rate17kbit	1	7	1	3	5	1	1	1	1.6537231025898	1.459	2.583357	1.157	2.918	2.3	1.42	1.8	1	2.28706	1	1.184	1.0579	1.370417	1.821	1		2.56136	3.09957	1.67972	4.831	1.2849	3.9492
sample06_b05e9d0ca9fa03bc46191299c1bae645.ogg	984	default	5.625	8	1	3	5	5.625	5	3.2711	1.6771894129151	4.286	3.727254	3.769	4.549	4.3	3.965	5	4.5	4.88263	4.46654	3.893	3.4736	4.494384	5	4.939789	4.46	4.96255	5	3.9972	4.8606	4.75081	5
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	996	loss40-0 + rate16kbit	1.4285714285714	7	1	3	5	1.4285714285714	1	1	3.0808120657291	1.657	1	1.23	3.9	2.3	1.977	2.3	1	3.55692	1	1.236	1.0786	1.432115	1.877	1	3.83	3.98346	2.54484	2.00985	5	3.16282	1
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	1013	loss25-0 + delay500-50	3.4285714285714	7	1	3	5	3.4285714285714	5	2.90852	3.7098079045935	1.832	1	1.252	3.363	2.3	1.752	4.42	1	4.04615	2.76008	1.28	1.1863	1.45292	1.893	3.293381	4.72	1	3.62569	1.84119	1	3.78951	5
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	998	loss25-0 + delay500-50	3	7	1	3	5	3	5	1	1.3196349412999	2.425	4.11021	1.526	3.179	2.7	2.406	2.3	1	4.25096	4.4736	1.631	1.2024	2.067438	2.293	3.098557		3.33399	2.27816	2.43547	5	3.34115	3.448
sample05_f8498e0018ea93b1158ec6fec09b23e5.ogg	988	loss30-0 + delay400-50	2.1428571428571	7	1	3	5	2.1428571428571	1	1	3.0422827577518	1.315	1	1.252	3.345	1.7	1.603	2.6	1	2.73462	3.25335	1.137	1.0864	1.300666	1.745	1.313736	3.24	3.65181	3.85635	1.69351	3.2662	2.25765	4.3599
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	1012	loss17-0 + rate24kbit	1.6666666666667	6	1	3	5	1.6666666666667	1	1	3.4513539873933	1.519	4.405027	1.306	1.762	1.7	1.529	2.82	3	1.31535	1	1.142	1.0423	1.551523	1.772	2.193428	4.34	1	2.6339	1.512	2.3677	2.82043	1.2763
sample05_e181863bce6738bace6841b174713716.ogg	996	loss13-0 + rate44kbit	4.1428571428571	7	1	3	5	4.1428571428571	5	1	1.8553190242659	2.698	4.006952	1.61	4.545	2.7	2.687	3.6	1	4.23382	5	1.815	1.9979	2.468105	2.774	3.53566	3.56	4.40203	4.14984	2.67611	5	3.88854	1.2135
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1000	loss22-0 + rate19kbit	2.1428571428571	7	1	3	5	2.1428571428571	1	1	1.3898537059327	1.782	2.179943	1.174	2.065	2.3	1.769	1.7	1	3.20487	3.15656	1.199	1.1087	1.528174	1.798	1		3.1657	2.90104	2.03595	5	2.18556	1
sample05_e181863bce6738bace6841b174713716.ogg	992	loss30-0 + rate17kbit	0	7	1	3	5	0	1	1	1.1813950404828	1.89	1.700038	1.253	3.34	2.7	2.109	2.6	1	0	1	1.439	1.3421	1.901753	1.957	1	2.41	3.33014	3.47322	3.33843	5	1	
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	996	loss25-0 + delay500-50	2.8571428571429	7	1	3	5	2.8571428571429	1	1	3.9044159977264	1.407	1	1.205	3.964	1.7	1.611	2.3	1	3.63223	3.42286	1.124	1.0778	1.361306	1.823	2.822647	3.24	4.67657	4.9672	1.48993	4.9423	2.70355	4.9733
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	1001	loss30-0 + delay400-50	2.2222222222222	18	1	3	5	2.2222222222222	1	1	1.7890449249872	2.346	1	1.358	1.03	2.7	1.904	1.2	1	3.54094	1	1.533	1.131	1.960043	2.113	3.137375		2.13299	2.77526	2.23676	1	2.87935	4.0461
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	1001	loss20-0 + rate32kbit	3.1	20	1	3	5	3.1	5	2.90236	1.7498204821749	2.229	1	1.343	1.218	2.7	2.24	1.1	1	3.77252	1.61107	1.552	1.2062	1.9608	2.185	3.268066		3.08896	3.81432	1.8405	1	3.02141	4.0276
sample06_b2f157ef91eaef1e2778a9b37326e3ef.ogg	988	loss25-0 + rate29kbit	4.1666666666667	6	1	3	5	4.1666666666667	5	2.86042	3.4406813488119	1.748	3.230256	1.265	3.862	2.3	2.011	3.08	1	4.33933	4.14352	1.346	1.1258	1.620213	1.843	3.221588	3.85	4.6351	4.49445	1.80494	4.8419	3.9055	5
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	998	loss25-0 + delay500-50	3.8571428571429	7	1	3	5	3.8571428571429	5	1	1.85449663661	2.6	4.439509	1.413	4.026	2.7	2.372	2.82	1	4.10951	2.8758	1.622	1.2594	2.040361	2.379	3.313385		3.92174	2.48333	2.25974	1	3.3393	2.3686
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	1002	default	6	14	1	3	5	6	5	3.52486	4.4326283241436	4.499	3.669709	4.346	4.901	4.3	4.01	4.2	3.6	4.97876	4.88452	4.146	3.403	3.866517	5	3.536423	4.85	3.32891	5	4.25105	1	4.8413	5
sample15_c38cd5c611532af5e79ed0958c415880.ogg	987	loss20-0 + rate32kbit	3.4285714285714	7	1	3	5	3.4285714285714	5	1.29096	4.7946279361497	2.434	4.786679	1.403	3.859	2.7	2.465	2.8	1	4.67164	3.70601	1.64	1.2265	1.960301	2.395	3.398956	4.74	2.55749	3.18917	2.7518	2.581	4.2254	3.8857
sample15_d4cdbff1b70c60a2fd8fc54f26f55c23.ogg	987	loss30-0 + rate17kbit	2.5	6	1	3	5	2.5	1	1	1.7465625074644	1.623	1	1.221	1.134	2.3	1.563	1.5	1	3.31633	1	1.229	1.0433	1.416353	1.848	1		1.59553	2.44765	1.39819	1	2.91405	
sample15_c38cd5c611532af5e79ed0958c415880.ogg	984	loss40-0 + rate16kbit	2	7	1	3	5	2	1	1	3.1409794991526	1.598	3.585	1.185	2.139	2.3	1.755	2	1	2.8816	1	1.216	1.3767	1.378202	1.872	1	3.95	1.29963	2.69779	2.0989	2.9002	2.59787	1
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	1013	loss22-0 + rate19kbit	2	8	1	3	5	2	1	1	3.9109894050277	1.817	1.644922	1.227	1	2.3	1.882	2.82	1	3.38955	1	1.312	1.0627	1.494412	1.853	1	3.92	1	2.62744	1.88706	1	2.84981	2.9055
sample06_08332cdbd86d4f09d30cd81c4f436081.ogg	1011	loss17-0 + rate24kbit	2.5	6	1	3	5	2.5	1	2.21864	1.7504028317363	1.289	3.399887	1.133	1.188	1.7	1.647	1.5	1	3.00276	1	1.142	1.0314	1.43982	1.929	1	4.7	3.19124	3.01653	1.35613	1	3.31009	
sample06_afb5f1ecdd37621d1be77b20691fefd8.ogg	987	loss25-0 + delay500-50	3	6	1	3	5	3	5	1	3.5406076122538	1.631	1	1.214	2.274	2.3	1.629	2.82	1	3.70966	1	1.21	1.1559	1.358083	1.841	3.200912	3.34	1	2.37697	1.55658	1	2.57134	5
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	1014	loss10-0 + rate64kbit	4.3333333333333	6	1	3	5	4.3333333333333	5	1		2.543	3.455651	1.507	3.693	2.7	2.361	2	1	4.32167	3.09672	1.721	1.184	1.940639	2.502	2.356171	3.29	1.36005	4.70174	2.22092	2.6464	2.34332	5
sample15_4a30a6c03e108b963d0afe692558e3ec.ogg	1014	loss90-0 + delay700-10	0.57142857142857	7	1	3	5	0.57142857142857	1	1		1.157	1	1.156	1.376	1.7	1.449	1.5	1	2.08579	1	1.108	1.0679	1.223347	1.673	1		1.39184	2.87424	1.54564	1	1	2.7862
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	996	loss25-0 + delay500-50	3.7142857142857	7	1	3	5	3.7142857142857	5	1	1.6020729533277	2.282	3.94106	1.352	3	2.7	2.316	2.3	1	4.21536	4.31755	1.491	1.0962	1.865668	2.154	1		3.34342	3.10234	2.70944	4.9424	2.97305	1
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	996	loss25-0 + rate29kbit	4.3333333333333	6	1	3	5	4.3333333333333	5	1.59365	3.0864963972172	2.16	1.941366	1.333	3.183	2.7	1.997	3.08	1	4.65468	3.16582	1.381	1.184	1.726909	2.015	2.911484	4.83	3.20842	3.65777	2.22999	1	3.83192	5
sample06_fb64e39c9934c818b378a0532c38f50f.ogg	1012	loss90-0 + delay700-10	1.1428571428571	7	1	3	5	1.1428571428571	1	1	3.4093147667825	1.748	4.270509	1.345	1	2.7	1.475	2	1	0.846342	1	1.409	1.0455	2.587077	1.755	1	3.38	1	3.10256	2.04156	2.4965	1.51938	2.1689
sample15_64900b3ffd4aa70f5e5d9641952094e8.ogg	996	loss13-0 + rate44kbit	4.2857142857143	7	1	3	5	4.2857142857143	5	1	1.0471654556364	2.784	4.681937	1.705	4.82	3.3	2.583	3.24	1	4.61557	4.51283	1.88	1.7399	2.43822	2.657	3.140259		4.53605	4.20807	2.96438	5	4.38605	4.1659
sample06_43af06b41db225c41a659da60408148a.ogg	1011	loss30-0 + rate17kbit	1.6666666666667	6	1	3	5	1.6666666666667	1	1	3.1451500609835	1.121	1	1.151	1.789	1.7	1.326	2	1	0.403908	1	1.122	1.1768	1.314851	1.754	1	1.82	2.57305	2.40291	1.24227	1	1.23116	4.7697
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	984	loss40-0 + rate16kbit	1.5714285714286	7	1	3	5	1.5714285714286	1	1	1.6147396923853	2.001	1.02396	1.208	1.188	2.3	1.936	2.82	1	3.73656	1	1.313	1.1246	1.695202	2.021	1		1.61058	2.64905	1.94791	1	3.46538	1
sample17_fd738975ea9a518e48680e3c33ee4c05.ogg	996	loss20-0 + rate32kbit	3.2857142857143	7	1	3	5	3.2857142857143	5	3.92782	1.454181334526	2.6	3.35776	1.391	3.502	2.7	2.298	2	1	4.54451	3.40909	1.732	1.2862	2.292936	2.395	3.212875		3.01554	3.93304	2.45089	1	4.12772	5
sample05_44823b5704b026f2930ad862576bef3c.ogg	1012	loss22-0 + rate19kbit	0.85714285714286	7	1	3	5	0.85714285714286	1	1	3.774715528532	1.652	1.867513	1.247	1.453	2.7	2.076	1.7	1	0.529845	1	1.464	1.1083	3.798907	2.416	1	3.04	1	2.31019	2.77571	2.8954	1.45969	5
sample17_350b04a3821a66a8bcd78a15588c8191.ogg	992	loss25-0 + rate29kbit	3.5	6	1	3	5	3.5	5	1	3.9229885255152	2.127	1.518132	1.29	1.434	2.7	2.067	2.3	1	4.44055	1	1.406	1.1573	1.597647	1.99	3.093689	3.63	1	2.6584	2.1852	1	2.81031	4.1576
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	1013	loss25-0 + delay500-50	3	6	1	3	5	3	5	1	3.7106532832447	1.677	1	1.151	1.004	2.3	1.541	2	1	3.38796	1	1.236	1.0715	1.47691	1.829	2.132759	4.37	2.76466	2.8822	1.51495	1	2.94254	4.7536
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	992	loss90-0 + delay700-10	0.83333333333333	6	1	3	5	0.83333333333333	1	1	3.9499322396601	1.475	4.800266	1.214	3.548	2.3	1.694	2	1	0.348854	1.41695	1.152	1.0947	1.298997	1.819	1	1.63	3.24973	3.49955	1.69916	5	1	3.4029
sample15_75836e80be4f3370e27e3f17bbce3433.ogg	1010	loss13-0 + rate48kbit	4.7142857142857	7	1	3	5	4.7142857142857	5	3.69689	4.7226558628813	3.086	4.979956	2.021	4.833	3.3	2.876	5	4.272727	4.73839	4.96743	2.224	1.7979	2.887692	3.166	3.925323	4.54	4.66466	5	2.93331	5	4.37625	2.7766
sample06_43af06b41db225c41a659da60408148a.ogg	1002	loss20-0 + rate32kbit	2.5	16	1	3	5	2.5	1	1	3.6605592455765	2.104	1	1.317	3.62	2.7	2.063	3.47	1	4.74881	3.51297	1.43	1.1269	1.832777	2.069	3.528641	3.93	3.4079	3.95776	2.07072	1	3.52527	5
sample06_43af06b41db225c41a659da60408148a.ogg	1013	loss13-0 + rate48kbit	4.5714285714286	7	1	3	5	4.5714285714286	5	1	3.4157844335841	2.555	1	1.429	4.402	2.7	2.368	3.08	1	4.79818	4.19635	1.749	1.38	2.35999	2.553	3.215134	4.05	4.32548	4.76534	2.34061	1	4.03413	5
sample05_44823b5704b026f2930ad862576bef3c.ogg	1009	loss30-0 + delay400-50	1.75	12	1	3	5	1.75	1	1	3.2083176914946	1.807	1	1.177	2.24	2.3	1.555	2	1	3.20222	1.12124	1.277	1.0348	1.430102	1.838	2.848068	3.7	1	2.6572	1.8746	2.7503	2.63963	2.6371
sample06_6691afc81fd72df69da5b1a7a508b30e.ogg	1010	loss25-0 + delay500-50	2.2857142857143	7	1	3	5	2.2857142857143	1	1	3.7350094863571	2.023	1	1.163	1.69	2.3	1.481	3.08	1	3.44882	1	1.189	1.0964	1.632112	1.823	1	3.76	2.48105	3.57573	1.6198	1	2.53442	2.9475
sample05_44823b5704b026f2930ad862576bef3c.ogg	1009	loss10-0 + rate64kbit	4.0769230769231	13	1	3	5	4.0769230769231	5	4.60905	4.0778636244986	2.813	4.923193	1.65	1.64	3.3	2.65	5	1	4.77025	4.19616	1.994	1.5788	2.206927	2.747	3.864105	4.91	2.46578	4.24689	2.24507	2.7407	4.18246	5
sample16_450f0cecc3c7003c6fbc3a10f4712aa4.ogg	1001	loss25-0 + delay500-50	3.3333333333333	6	1	3	5	3.3333333333333	5	1	1.4085029258046	2.298	1	1.301	1.587	2.7	2.072	1.1	1	3.81859	1	1.458	1.1152	1.874544	2.139	1.456909		1.80392	3.25498	2.64992	1	2.2419	2.8682
sample16_450f0cecc3c7003c6fbc3a10f4712aa4.ogg	992	loss20-0 + rate32kbit	3.4285714285714	7	1	3	5	3.4285714285714	5	1	1.368893391318	2.279	1.296867	1.355	2.812	2.7	2.173	1.1	1	4.24633	2.77766	1.467	1.2197	1.905552	2.208	3.415527		2.33438	3.81158	1.94064	1	2.40279	3.0518
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	1013	loss30-0 + rate17kbit	2.3333333333333	6	1	3	5	2.3333333333333	1	1	3.4752029877954	1.804	1	1.263	4.028	2.3	2.13	2.6	1	3.85866	1	1.346	1.0944	1.572087	2.065	1	3.82	4.08578	2.56279	2.17206	5	2.82749	
sample07_5574802a9f1816ded504abaccbd6ea79.ogg	998	loss22-0 + rate19kbit	1.1428571428571	7	1	3	5	1.1428571428571	1	1	1.9731827803998	1.351	1	1.709	2.708	2.3	1.409	1.19	1	0.786802	1	1.157	1.0748	1.491305	2.21	1		2.62746	2.59229	1.45886	4.8741	2.07288	1
sample05_e181863bce6738bace6841b174713716.ogg	984	loss30-0 + rate17kbit	0.42857142857143	7	1	3	5	0.42857142857143	1	1	1.3837645593088	1.279	3.826646	1.141	3.462	2.7	1.343	2	1	0	2.97016	1.436	1.0314	2.379297	1.696	1		3.03889	3.33975	1.46302	5	1	
sample16_2ee9c6bcc64a0b6566f8e9ec99b20ada.ogg	1013	loss25-0 + rate29kbit	3.4285714285714	7	1	3	5	3.4285714285714	5	1	4.1373663831743	1.965	4.752523	1.239	4.511	2.3	2.065	3.08	1	4.22703	1.28054	1.335	1.139	1.607289	1.928	2.980896	4.38	4.18015	2.59443	1.83095	5	3.59178	2.6414
sample06_b05e9d0ca9fa03bc46191299c1bae645.ogg	987	loss30-0 + rate17kbit	0.83333333333333	6	1	3	5	0.83333333333333	1	1	1.4222889399656	1.434	1.021882	1.155	2.462	2.3	1.347	2	1	0.223415	1	1.16	1.0737	1.362276	1.81	1	3.12	3.25867	2.85251	2.1782	5	2.09917	
sample15_03c54b861f72cce82609dd3acbaa85fb.ogg	1000	loss20-0 + rate32kbit	2.6486486486486	37	1	3	5	2.6486486486486	1	1	1.0559769951219	2.365	4.3269	1.521	3.856	2.7	2.342	2.3	1	4.62379	4.44037	1.596	1.3508	2.025848	2.265	3.199463		3.43375	3.4627	2.2217	5	3.56779	2.8726
sample16_28b7af27b8464f83f547e385893de318.ogg	996	loss20-0 + rate32kbit	3.8571428571429	7	1	3	5	3.8571428571429	5	1	1.2676671931705	2.468	3.075779	1.511	3.215	2.7	2.368	2.3	1	4.58597	1	1.593	1.2613	2.059856	2.333	3.262375		3.70584	3.23283	2.16241	4.3048	4.00971	5
